fibre_type,quantity_of_fibre,application,color_of_fibre,pan_powder,dmf_solvent,additives,heating_time,energy_use,argon_gas,oxidation,sizing,water,drying,strength,flexibility,diameter_accuracy
Rayon-based Carbon Fiber,75.21,Construction,Silver,3.1,7.89,Alumina,162.25,106.21,3.41,3.45,0.96,182.2,7.99,89.19,87.94,94.17
Rayon-based Carbon Fiber,199.96,Construction,Silver,1.96,4.74,Titania,128.31,398.41,0.82,2.29,4.07,32.61,3.9,90.46,98.74,89.49
Rayon-based Carbon Fiber,83.29,Aerospace,Gray,0.67,2.13,Alumina,63.23,127.29,3.44,0.74,3.26,47.15,6.77,96.38,96.2,93.29
Rayon-based Carbon Fiber,140.39,Sports Equipment,Gray,4.18,3.19,Titania,156.93,493.34,1.39,2.34,4.61,76.19,7.61,98.73,88.44,85.25
PAN-based Carbon Fiber,146.11,Construction,Gray,1.51,8.01,None,91.1,268.2,4.74,2.57,1.73,177.91,9.48,92.41,99.61,96.8
PAN-based Carbon Fiber,120.21,Construction,Silver,0.51,8.93,Alumina,73.99,354.12,1.19,0.42,1.23,54.35,4.24,85.85,91.15,86.16
Rayon-based Carbon Fiber,103.47,Construction,Silver,0.73,8.59,Silica,135.25,396.53,1.35,3.01,2.01,35.15,4.43,87.69,96.54,93.58
PAN-based Carbon Fiber,110.1,Construction,Black,4.56,2.32,None,169.73,371.26,4.51,0.61,1.04,51.66,7.91,96.06,96.9,88.83
Pitch-based Carbon Fiber,185.6,Automotive,Black,1.04,7.02,Alumina,113.4,417.4,3.63,0.87,1.05,101.53,1.92,97.83,98.87,94.83
PAN-based Carbon Fiber,174.78,Aerospace,Gray,2.83,4.4,Alumina,129.81,126.2,2.16,3.29,1.97,106.71,3.24,90.35,93.65,89.88
Rayon-based Carbon Fiber,138.92,Aerospace,Black,4.11,7.21,None,71.89,355.98,4.49,0.11,3.8,104.76,9.26,90.33,99.83,96.88
Rayon-based Carbon Fiber,17.81,Automotive,Silver,2.22,7.7,None,92.73,497.98,4.43,3.08,1.35,194.39,8.23,89.97,93.4,89.05
Pitch-based Carbon Fiber,99.39,Construction,Silver,2.56,2.02,None,99.24,130.23,3.29,1.95,1.41,160.3,4.11,86.01,89.48,91.47
PAN-based Carbon Fiber,87.63,Sports Equipment,Gray,2.19,9.37,Titania,77.0,102.67,1.28,2.83,4.94,18.14,2.82,92.44,86.63,95.84
Rayon-based Carbon Fiber,178.47,Automotive,Silver,0.81,1.07,Titania,90.85,440.72,4.13,2.38,0.38,164.35,7.76,88.3,90.83,99.79
PAN-based Carbon Fiber,164.22,Aerospace,Black,3.25,2.38,Alumina,107.77,152.14,2.01,0.65,2.55,145.85,4.18,86.64,98.62,89.36
Pitch-based Carbon Fiber,169.85,Aerospace,Silver,3.32,3.64,Titania,53.5,290.92,3.42,1.17,1.02,170.73,6.08,88.16,94.12,85.08
Pitch-based Carbon Fiber,181.8,Aerospace,Silver,4.58,5.76,Silica,169.79,433.91,2.83,1.51,1.86,192.28,6.99,87.97,94.88,89.05
Rayon-based Carbon Fiber,13.82,Sports Equipment,Silver,3.77,1.89,Alumina,125.56,312.99,3.81,0.26,4.91,140.37,4.25,99.37,85.13,94.53
Pitch-based Carbon Fiber,39.18,Construction,Silver,1.59,7.65,Silica,67.76,108.01,4.71,3.51,3.41,190.43,4.91,92.87,85.21,90.57
Pitch-based Carbon Fiber,54.13,Aerospace,Gray,2.79,3.09,Silica,166.8,222.72,3.97,4.16,1.11,66.13,6.57,93.21,91.31,86.18
PAN-based Carbon Fiber,99.66,Sports Equipment,Gray,4.62,6.0,Titania,124.02,187.19,3.74,2.19,4.24,88.67,8.53,99.18,98.09,95.32
Pitch-based Carbon Fiber,43.67,Sports Equipment,Silver,2.72,9.55,Silica,166.76,58.57,0.71,1.43,3.6,35.44,9.56,85.38,91.07,86.52
PAN-based Carbon Fiber,132.15,Automotive,Silver,1.43,2.09,None,139.51,86.32,4.23,3.26,3.57,19.56,8.58,95.09,99.64,89.44
Pitch-based Carbon Fiber,25.88,Automotive,Silver,3.46,4.65,Silica,43.75,130.07,1.5,1.62,2.43,86.8,4.97,91.76,98.81,91.18
Rayon-based Carbon Fiber,97.79,Automotive,Black,3.38,6.77,Alumina,67.66,273.71,1.01,1.05,2.39,115.39,7.7,94.57,86.79,90.25
Pitch-based Carbon Fiber,92.18,Automotive,Gray,1.56,2.19,Silica,52.87,160.01,2.07,4.64,0.48,133.08,5.26,89.52,86.67,91.11
PAN-based Carbon Fiber,95.11,Sports Equipment,Black,2.38,8.6,None,37.52,475.25,3.6,0.14,3.21,157.7,2.63,97.42,94.45,86.38
Pitch-based Carbon Fiber,105.76,Construction,Silver,4.75,1.76,None,59.44,489.62,4.61,1.86,2.18,170.49,6.99,96.15,95.76,96.82
PAN-based Carbon Fiber,103.39,Aerospace,Gray,3.83,2.07,None,66.91,149.35,4.33,2.29,1.3,104.06,4.83,89.03,88.43,90.59
PAN-based Carbon Fiber,36.0,Automotive,Black,1.45,7.86,None,137.59,479.95,1.88,1.52,3.88,147.65,9.45,85.43,93.92,91.58
PAN-based Carbon Fiber,160.73,Automotive,Black,1.51,7.41,Silica,171.4,169.0,3.87,4.08,3.1,87.84,5.01,89.23,91.85,86.82
PAN-based Carbon Fiber,60.14,Sports Equipment,Black,2.13,2.64,Silica,118.25,383.71,4.02,3.21,3.6,88.04,5.26,89.29,87.26,99.4
Rayon-based Carbon Fiber,125.03,Construction,Silver,3.32,1.98,Alumina,148.94,389.79,2.05,3.64,1.34,168.16,5.84,97.49,94.62,97.3
PAN-based Carbon Fiber,143.77,Sports Equipment,Silver,2.46,4.94,None,170.39,229.46,1.68,4.88,1.97,154.14,7.58,87.24,86.83,85.71
PAN-based Carbon Fiber,133.26,Automotive,Silver,1.43,8.04,Titania,147.0,195.37,3.96,3.84,1.78,198.82,4.59,87.07,92.96,93.3
Pitch-based Carbon Fiber,135.0,Automotive,Black,1.83,8.1,Titania,112.72,298.49,2.02,2.83,4.55,79.85,0.69,93.92,95.04,91.96
PAN-based Carbon Fiber,77.21,Automotive,Silver,0.85,5.16,None,83.22,446.02,3.29,3.32,3.99,139.24,6.62,91.15,99.34,86.76
PAN-based Carbon Fiber,129.29,Automotive,Gray,2.87,3.24,Alumina,41.85,261.4,1.37,1.93,4.29,41.55,4.94,89.04,85.64,87.22
PAN-based Carbon Fiber,63.99,Construction,Silver,0.83,9.77,Alumina,133.15,433.2,3.56,3.77,1.28,94.54,4.41,85.39,91.83,99.78
PAN-based Carbon Fiber,96.13,Construction,Silver,4.93,2.05,Alumina,103.79,96.09,3.49,3.13,2.86,63.02,5.43,86.09,98.18,88.82
Rayon-based Carbon Fiber,188.29,Automotive,Gray,4.24,6.94,None,160.7,432.54,2.74,2.54,4.94,35.81,4.5,87.0,89.27,91.18
PAN-based Carbon Fiber,133.83,Construction,Gray,1.7,2.27,Titania,46.64,218.3,3.05,2.51,0.81,189.47,2.5,89.03,93.44,89.13
Rayon-based Carbon Fiber,17.64,Construction,Gray,0.93,1.81,Alumina,53.74,164.26,4.4,0.87,0.68,180.26,8.72,88.37,89.73,97.29
Pitch-based Carbon Fiber,60.31,Automotive,Silver,0.97,7.02,Silica,152.94,311.11,4.88,4.41,2.1,60.29,5.07,85.28,85.59,90.14
Rayon-based Carbon Fiber,172.48,Automotive,Gray,1.35,6.14,Alumina,93.99,187.45,2.5,1.12,4.0,24.91,3.93,85.12,92.31,90.87
Pitch-based Carbon Fiber,76.64,Construction,Black,1.4,3.29,Silica,176.39,125.55,2.58,3.49,0.9,142.24,4.0,95.62,92.07,88.36
PAN-based Carbon Fiber,157.2,Construction,Silver,3.17,3.94,None,124.68,95.79,1.94,0.99,1.07,80.04,7.37,98.74,90.67,85.07
Rayon-based Carbon Fiber,159.03,Aerospace,Black,2.71,1.55,Titania,167.85,412.77,1.55,3.05,0.76,22.24,0.91,85.9,97.51,93.26
PAN-based Carbon Fiber,140.45,Automotive,Silver,0.58,2.52,Alumina,148.27,383.54,4.63,1.93,2.33,130.96,6.49,93.17,86.12,88.11
Pitch-based Carbon Fiber,29.69,Sports Equipment,Gray,3.18,5.93,Silica,33.41,497.31,1.22,2.81,2.79,175.72,9.98,99.35,89.61,85.91
Rayon-based Carbon Fiber,20.16,Aerospace,Gray,1.15,7.19,None,125.45,56.21,2.76,0.18,1.6,93.46,1.81,91.85,99.24,94.29
Pitch-based Carbon Fiber,123.54,Sports Equipment,Gray,1.41,8.48,Silica,75.51,379.4,2.64,4.13,1.85,16.14,3.69,85.44,98.61,88.81
PAN-based Carbon Fiber,111.63,Automotive,Gray,3.0,6.0,Alumina,30.92,172.34,1.03,2.05,3.23,149.82,8.15,90.58,91.03,86.14
PAN-based Carbon Fiber,151.91,Aerospace,Silver,4.34,6.62,None,179.27,433.8,2.28,1.43,0.18,62.29,1.55,98.21,91.45,86.39
Rayon-based Carbon Fiber,44.07,Sports Equipment,Black,1.4,9.62,None,125.41,256.19,4.67,3.58,2.19,177.42,3.33,89.56,86.05,99.91
Rayon-based Carbon Fiber,136.61,Construction,Silver,3.13,5.0,Alumina,153.97,499.71,2.73,2.44,1.56,188.63,1.08,91.0,98.88,94.19
Rayon-based Carbon Fiber,35.85,Automotive,Gray,2.27,2.91,None,131.09,266.43,4.66,1.05,1.55,190.94,1.17,96.56,97.12,86.76
Pitch-based Carbon Fiber,64.58,Automotive,Black,1.0,8.87,Alumina,143.79,95.55,3.73,4.15,3.87,185.25,0.79,97.48,89.7,85.64
Rayon-based Carbon Fiber,102.71,Construction,Silver,0.77,1.39,None,143.66,204.94,1.99,3.58,0.89,172.49,9.05,96.14,92.26,94.51
Rayon-based Carbon Fiber,183.71,Aerospace,Black,2.8,4.47,None,120.07,394.96,1.59,3.55,1.58,181.32,1.2,96.06,92.67,96.94
Pitch-based Carbon Fiber,140.4,Automotive,Silver,3.67,4.33,None,69.67,278.82,3.52,1.75,1.73,157.68,2.55,88.07,88.59,94.07
PAN-based Carbon Fiber,133.89,Automotive,Silver,3.66,3.06,Alumina,81.67,91.63,4.98,1.64,1.38,33.37,7.05,97.47,89.0,85.27
Rayon-based Carbon Fiber,49.94,Aerospace,Gray,4.62,4.91,Silica,81.99,358.95,1.82,0.45,2.8,60.22,4.23,94.47,85.94,88.01
Pitch-based Carbon Fiber,86.31,Sports Equipment,Silver,1.44,4.51,None,165.45,379.19,4.45,3.64,1.61,81.01,2.03,96.5,98.9,90.19
PAN-based Carbon Fiber,183.81,Aerospace,Black,3.67,1.65,Silica,167.27,145.41,1.81,2.76,4.95,123.66,4.17,96.44,98.19,94.14
PAN-based Carbon Fiber,127.26,Aerospace,Black,1.81,1.71,None,96.19,458.09,3.53,3.96,2.15,39.53,1.89,90.71,91.66,96.74
Rayon-based Carbon Fiber,75.57,Sports Equipment,Gray,0.75,8.12,None,145.48,202.08,2.34,3.71,3.73,178.98,5.67,94.15,91.22,91.57
Pitch-based Carbon Fiber,15.75,Aerospace,Black,3.61,4.93,None,114.7,475.97,2.15,3.46,0.95,134.19,3.92,88.03,87.2,89.14
Pitch-based Carbon Fiber,11.28,Automotive,Silver,3.95,1.17,None,42.68,287.47,2.33,3.9,0.73,137.25,9.08,98.02,87.88,93.68
Rayon-based Carbon Fiber,188.51,Construction,Black,0.97,9.12,Silica,137.03,307.75,1.57,4.94,3.07,19.59,6.72,93.19,93.39,86.69
Pitch-based Carbon Fiber,161.23,Aerospace,Gray,1.75,6.52,None,137.84,385.57,2.64,2.41,1.58,58.18,5.48,88.58,85.28,92.73
Rayon-based Carbon Fiber,164.85,Sports Equipment,Gray,0.65,6.66,Silica,177.17,454.82,2.0,0.95,2.12,26.59,9.05,97.63,92.09,93.46
Rayon-based Carbon Fiber,18.34,Aerospace,Black,2.73,9.55,Titania,102.07,406.02,3.59,2.79,1.71,196.45,4.25,98.83,93.24,99.69
Pitch-based Carbon Fiber,49.27,Automotive,Black,4.63,5.25,Alumina,179.09,274.93,4.02,4.09,2.82,36.14,3.43,88.38,94.38,94.1
Rayon-based Carbon Fiber,74.5,Construction,Silver,3.97,7.47,Alumina,103.09,478.72,2.6,4.08,0.21,175.49,1.45,96.8,99.01,93.32
Pitch-based Carbon Fiber,104.73,Construction,Gray,3.49,4.58,Alumina,107.82,225.61,3.23,3.25,4.39,121.92,1.1,86.31,91.06,99.52
Pitch-based Carbon Fiber,65.92,Sports Equipment,Gray,4.83,9.72,None,32.26,154.24,1.01,1.07,3.23,38.15,5.89,86.44,93.04,88.26
PAN-based Carbon Fiber,166.18,Construction,Black,1.88,6.01,Titania,176.73,222.04,4.69,4.01,4.84,185.89,4.71,91.51,97.15,98.91
Rayon-based Carbon Fiber,167.5,Aerospace,Gray,4.57,2.49,Silica,157.26,72.67,2.32,2.41,4.7,86.33,4.29,85.05,92.22,89.4
Rayon-based Carbon Fiber,116.29,Sports Equipment,Gray,0.92,9.22,Alumina,50.49,395.85,4.23,4.55,2.23,198.75,4.36,93.09,99.84,88.1
PAN-based Carbon Fiber,176.31,Construction,Black,4.46,8.08,Alumina,138.07,459.75,2.36,4.71,3.98,172.1,5.89,86.47,93.93,94.3
PAN-based Carbon Fiber,139.27,Sports Equipment,Silver,2.93,4.17,None,33.0,420.58,0.75,3.67,1.03,123.96,1.67,90.9,98.05,94.81
PAN-based Carbon Fiber,167.65,Aerospace,Silver,3.12,7.63,Titania,112.79,452.6,2.47,3.84,3.5,119.18,8.95,95.2,87.14,97.18
Pitch-based Carbon Fiber,196.0,Automotive,Black,1.54,3.29,Alumina,113.59,299.44,2.5,0.83,1.8,60.53,6.24,97.62,89.57,90.51
Pitch-based Carbon Fiber,172.92,Construction,Black,1.46,9.34,Alumina,121.73,239.6,3.38,3.65,4.53,96.37,5.85,94.9,86.99,88.17
Pitch-based Carbon Fiber,162.73,Sports Equipment,Black,4.65,5.35,Silica,76.78,190.0,2.61,1.08,4.23,30.11,6.94,97.26,92.55,87.17
PAN-based Carbon Fiber,155.3,Construction,Black,2.39,9.13,Silica,50.78,135.34,4.88,0.68,4.43,24.56,9.29,90.84,86.52,92.35
Pitch-based Carbon Fiber,127.43,Aerospace,Gray,2.23,5.18,Alumina,77.46,318.81,4.03,0.29,2.86,123.4,7.05,98.31,96.89,97.36
Pitch-based Carbon Fiber,27.13,Construction,Gray,3.52,8.79,Alumina,114.19,447.46,2.6,0.88,2.53,133.77,9.49,90.48,96.77,85.43
Rayon-based Carbon Fiber,198.77,Sports Equipment,Black,3.31,5.29,None,90.69,161.96,4.27,4.89,3.61,196.59,3.98,85.81,86.52,92.32
Rayon-based Carbon Fiber,29.98,Aerospace,Gray,1.24,2.32,Silica,48.72,488.69,3.69,1.35,1.94,154.18,5.78,98.07,95.96,93.14
Rayon-based Carbon Fiber,85.88,Construction,Black,2.33,9.28,Titania,138.0,183.7,1.9,3.38,3.15,191.18,8.03,97.0,93.56,93.22
Pitch-based Carbon Fiber,170.01,Aerospace,Silver,2.84,8.55,Silica,142.79,325.06,2.6,1.49,0.11,103.44,9.58,95.48,95.18,92.78
Rayon-based Carbon Fiber,39.9,Aerospace,Black,1.78,7.81,Silica,67.24,268.39,2.0,2.3,0.14,69.39,9.68,97.67,90.33,87.61
Pitch-based Carbon Fiber,36.33,Aerospace,Silver,2.35,9.92,Silica,135.72,405.48,3.29,0.77,0.85,145.49,5.61,99.32,95.31,86.26
PAN-based Carbon Fiber,139.87,Automotive,Black,3.75,1.83,None,73.54,353.52,2.37,3.82,2.46,130.41,4.22,98.99,92.02,97.63
Pitch-based Carbon Fiber,89.14,Automotive,Silver,3.21,1.91,Titania,72.51,168.35,2.51,4.98,0.56,159.9,3.88,88.77,85.32,85.73
Pitch-based Carbon Fiber,116.35,Aerospace,Silver,4.13,5.58,Titania,72.74,233.73,0.59,4.35,3.71,62.37,8.04,97.55,88.76,93.67
Rayon-based Carbon Fiber,127.84,Automotive,Silver,4.98,2.22,None,137.73,129.93,0.68,3.91,1.93,61.09,8.82,90.35,89.01,99.75
Pitch-based Carbon Fiber,75.09,Aerospace,Gray,2.56,3.72,Silica,79.72,344.21,0.85,0.97,2.09,194.72,6.91,99.77,99.1,91.34
PAN-based Carbon Fiber,197.43,Aerospace,Silver,4.8,1.32,None,79.55,60.81,2.88,2.05,1.44,189.34,0.84,97.58,92.0,93.85
Rayon-based Carbon Fiber,14.11,Sports Equipment,Silver,2.54,5.25,None,139.34,266.53,1.82,2.05,2.25,138.39,1.28,96.25,87.18,90.19
Rayon-based Carbon Fiber,156.64,Construction,Black,4.74,5.26,Silica,50.55,86.44,4.38,4.43,1.43,135.42,1.69,91.8,99.36,86.0
PAN-based Carbon Fiber,178.15,Construction,Black,4.47,2.61,Alumina,79.62,309.37,4.68,2.96,1.93,57.27,5.62,99.62,97.63,87.37
Pitch-based Carbon Fiber,178.36,Aerospace,Gray,3.29,1.43,Silica,65.61,339.21,2.73,2.3,0.11,162.61,8.05,86.75,97.17,98.35
PAN-based Carbon Fiber,114.34,Automotive,Silver,3.16,7.69,None,142.83,177.13,3.95,2.03,1.07,184.25,9.19,88.79,89.42,99.84
PAN-based Carbon Fiber,14.76,Sports Equipment,Black,4.21,7.0,Alumina,69.68,416.78,4.2,1.92,0.32,194.16,8.44,96.14,91.09,96.73
PAN-based Carbon Fiber,124.88,Construction,Gray,2.6,5.64,None,94.55,208.51,1.74,0.88,4.7,145.97,3.66,85.35,98.38,92.84
Rayon-based Carbon Fiber,144.15,Construction,Gray,0.68,5.66,Alumina,55.46,295.24,1.13,2.47,0.47,61.05,0.59,95.4,89.55,86.19
